Index,Vocab-expression,Vocab-kana,Vocab-meaning,Sentence-expression,Sentence-kana,Sentence-meaning,Vocab-furigana,Sentence-furigana,Sentence-Cloze
4950,絶対,ぜったい,absolutely,そんなことは<b>絶対</b>できないよ。,そんな こと は <b>ぜったい</b> できない よ,I can never ever do such a thing.,絶対[ぜったい],そんなことは<b> 絶対[ぜったい]</b>できないよ。,そんなことは<b>（　）</b>できないよ。
4951,気絶,きぜつ,fainting,彼女は驚いて<b>気絶</b>してしまったの。,かのじょ は おどろいて <b>きぜつ</b> して しまった の,She fainted in surprise.,気絶[きぜつ],彼女[かのじょ]は 驚[おどろ]いて<b> 気絶[きぜつ]</b>してしまったの。,彼女[かのじょ]は 驚[おどろ]いて<b>（　）</b>してしまったの。
4952,絶えず,たえず,"constantly, always",今日は<b>絶えず</b>電話が鳴りました。,きょう は <b>たえず</b> でんわ が なりました,The telephone didn't stop ringing today.,絶[た]えず,今日[きょう]は<b> 絶[た]えず</b> 電話[でんわ]が 鳴[な]りました。,今日[きょう]は<b>（　）</b> 電話[でんわ]が 鳴[な]りました。
4953,笑い,わらい,laughter,あの家は<b>笑い</b>が絶えないね。,あの いえ は <b>わらい</b> が たえない ね,Laughter never stops in that house.,笑[わら]い,あの 家[いえ]は<b> 笑[わら]い</b>が 絶[た]えないね。,あの 家[いえ]は<b>（　）</b>が 絶[た]えないね。
4954,肉体,にくたい,"body, flesh",<b>肉体</b>はいつか滅びます。,<b>にくたい</b> は いつか ほろびます,Our bodies must perish at some time or another.,肉体[にくたい],<b> 肉体[にくたい]</b>はいつか 滅[ほろ]びます。,<b>（　）</b>はいつか 滅[ほろ]びます。
4955,滅びる,ほろびる,"go to ruin, fall",その文明は何千年も前に<b>滅びて</b>しまったの。,その ぶんめい は なんぜんねん も まえ に <b>ほろびて</b> しまった の,That civilization was destroyed thousands of years ago.,滅[ほろ]びる,その 文明[ぶんめい]は 何千年[なんぜんねん]も 前[まえ]に<b> 滅[ほろ]びて</b>しまったの。,その 文明[ぶんめい]は 何千年[なんぜんねん]も 前[まえ]に<b>（　）</b>しまったの。
4956,設置,せっち,establishment,お店に防犯カメラが<b>設置</b>されたわね。,お みせ に ぼうはん かめら が <b>せっち</b> された わ ね,A security camera was installed in the shop.,設置[せっち],お 店[みせ]に 防犯[ぼうはん]カメラが<b> 設置[せっち]</b>されたわね。,お 店[みせ]に 防犯[ぼうはん]カメラが<b>（　）</b>されたわね。
4957,核,かく,"core, atomic nucleus",<b>核</b>戦争は絶対に防ぐべきよ。,<b>かく</b>せんそう は ぜったい に ふせぐ べき よ,Nuclear war should be avoided at all costs.,核[かく],<b> 核[かく]</b> 戦争[せんそう]は 絶対[ぜったい]に 防[ふせ]ぐべきよ。,<b>（　）</b> 戦争[せんそう]は 絶対[ぜったい]に 防[ふせ]ぐべきよ。
4958,防衛,ぼうえい,"defense, protection",チャンピオンがタイトルを<b>防衛</b>した。,ちゃんぴおん が たいとる を <b>ぼうえい</b> した,The champion defended the title.,防衛[ぼうえい],チャンピオンがタイトルを<b> 防衛[ぼうえい]</b>した。,チャンピオンがタイトルを<b>（　）</b>した。
4959,防止,ぼうし,"prevention, determent",警察は犯罪の<b>防止</b>に努めています。,けいさつ は はんざい の <b>ぼうし</b> に つとめて います,The police are making efforts to prevent crime.,防止[ぼうし],警察[けいさつ]は 犯罪[はんざい]の<b> 防止[ぼうし]</b>に 努[つと]めています。,警察[けいさつ]は 犯罪[はんざい]の<b>（　）</b>に 努[つと]めています。
4960,防火,ぼうか,"fire prevention, fireproof",学校で<b>防火</b>訓練がありました。,がっこう で <b>ぼうか</b>くんれん が ありました,There was a fire drill at school.,防火[ぼうか],学校[がっこう]で<b> 防火[ぼうか]</b> 訓練[くんれん]がありました。,学校[がっこう]で<b>（　）</b> 訓練[くんれん]がありました。
4961,天災,てんさい,natural disaster,<b>天災</b>を防ぐことはできません。,<b>てんさい</b> を ふせぐ こと は できません,Natural disasters can't be prevented.,天災[てんさい],<b> 天災[てんさい]</b>を 防[ふせ]ぐことはできません。,<b>（　）</b>を 防[ふせ]ぐことはできません。
4962,妨害,ぼうがい,"hindrance, obstruction",彼に営業を<b>妨害</b>されました。,かれ に えいぎょう を <b>ぼうがい</b> されました,My business operations were thwarted by him.,妨害[ぼうがい],彼[かれ]に 営業[えいぎょう]を<b> 妨害[ぼうがい]</b>されました。,彼[かれ]に 営業[えいぎょう]を<b>（　）</b>されました。
4963,嫌う,きらう,dislike,父はラッシュアワーを<b>嫌っています</b>。,ちち は らっしゅあわー を <b>きらって います</b>,My father dislikes rush hour.,嫌[きら]う,父[ちち]はラッシュアワーを<b> 嫌[きら]っています</b>。,父[ちち]はラッシュアワーを<b>（　）</b>。
4964,嫌がる,いやがる,"dislike, hate",彼はタバコの煙を<b>嫌がる</b>の。,かれ は たばこ の けむり を <b>いやがる</b> の,He dislikes cigarette smoke.,嫌[いや]がる,彼[かれ]はタバコの 煙[けむり]を<b> 嫌[いや]がる</b>の。,彼[かれ]はタバコの 煙[けむり]を<b>（　）</b>の。
4965,機嫌,きげん,"mood, health",彼女は大変<b>機嫌</b>がいいね。,かのじょ は たいへん <b>きげん</b> が いい ね,She is in a very good mood.,機嫌[きげん],彼女[かのじょ]は 大変[たいへん]<b> 機嫌[きげん]</b>がいいね。,彼女[かのじょ]は 大変[たいへん]<b>（　）</b>がいいね。
4966,好き嫌い,すききらい,"likes and dislikes, taste",食べ物の<b>好き嫌い</b>は特にありません。,たべもの の <b>すききらい</b> は とくに ありません,I have no particular likes or dislikes when it comes to food.,好[す]き 嫌[きら]い,食[た]べ 物[もの]の<b> 好[す]き 嫌[きら]い</b>は 特[とく]にありません。,食[た]べ 物[もの]の<b>（　）</b>は 特[とく]にありません。
4967,徹夜,てつや,staying up all night,ゆうべは<b>徹夜</b>しました。,ゆうべ は <b>てつや</b> しました,I stayed up all last night.,徹夜[てつや],ゆうべは<b> 徹夜[てつや]</b>しました。,ゆうべは<b>（　）</b>しました。
4968,生物,せいぶつ,"living creature, lifeform",海の底には不思議な<b>生物</b>がたくさんいるよ。,うみ の そこ に は ふしぎ な <b>せいぶつ</b> が たくさん いる よ,There are a lot of strange creatures at the bottom of the sea.,生物[せいぶつ],海[うみ]の 底[そこ]には 不思議[ふしぎ]な<b> 生物[せいぶつ]</b>がたくさんいるよ。,海[うみ]の 底[そこ]には 不思議[ふしぎ]な<b>（　）</b>がたくさんいるよ。
4969,徹底的,てっていてき,"thorough, exhaustive",部屋の中を<b>徹底的</b>に探しました。,へや の なか を <b>てっていてき</b> に さがしました,I searched inside the room thoroughly.,徹底的[てっていてき],部屋[へや]の 中[なか]を<b> 徹底的[てっていてき]</b>に 探[さが]しました。,部屋[へや]の 中[なか]を<b>（　）</b>に 探[さが]しました。
4970,到底,とうてい,"after all, in the long run",今夜中に東京に着くのは<b>到底</b>無理でしょう。,こんやじゅう に とうきょう に つく の は <b>とうてい</b> むり でしょう,We can't possibly arrive in Tokyo tonight.,到底[とうてい],今夜中[こんやじゅう]に 東京[とうきょう]に 着[つ]くのは<b> 到底[とうてい]</b> 無理[むり]でしょう。,今夜中[こんやじゅう]に 東京[とうきょう]に 着[つ]くのは<b>（　）</b> 無理[むり]でしょう。
4971,抗議,こうぎ,"protest, remonstrance",彼の発言に対してたくさんの<b>抗議</b>があったよ。,かれ の はつげん に たいして たくさん の <b>こうぎ</b> が あった よ,His remark was met with numerous complaints.,抗議[こうぎ],彼[かれ]の 発言[はつげん]に 対[たい]してたくさんの<b> 抗議[こうぎ]</b>があったよ。,彼[かれ]の 発言[はつげん]に 対[たい]してたくさんの<b>（　）</b>があったよ。
4972,抵抗,ていこう,"resistance, opposition",犯人は警察に<b>抵抗</b>したの。,はんにん は けいさつ に <b>ていこう</b> した の,The criminal resisted the police.,抵抗[ていこう],犯人[はんにん]は 警察[けいさつ]に<b> 抵抗[ていこう]</b>したの。,犯人[はんにん]は 警察[けいさつ]に<b>（　）</b>したの。
4973,グリーン,グリーン,green,その<b>グリーン</b>のスカーフ、素敵ですね。,その <b>ぐりーん</b> の すかーふ すてき です ね,"That green scarf is lovely, isn't it?",グリーン,その<b>グリーン</b>のスカーフ、 素敵[すてき]ですね。,その<b>（　）</b>のスカーフ、 素敵[すてき]ですね。
4974,素敵,すてき,"lovely, nice",<b>素敵</b>なプレゼントをありがとう。,<b>すてき</b> な ぷれぜんと を ありがとう,Thank you for the wonderful gift.,素敵[すてき],<b> 素敵[すてき]</b>なプレゼントをありがとう。,<b>（　）</b>なプレゼントをありがとう。
4975,男性,だんせい,"male, man",彼は素敵な<b>男性</b>です。,かれ は すてき な <b>だんせい</b> です,He's a wonderful man.,男性[だんせい],彼[かれ]は 素敵[すてき]な<b> 男性[だんせい]</b>です。,彼[かれ]は 素敵[すてき]な<b>（　）</b>です。
4976,デザイン,デザイン,design,この服の<b>デザイン</b>は素敵ですね。,この ふく の <b>でざいん</b> は すてき です ね 。,The design of this garment is wonderful.,デザイン,この 服[ふく]の<b>デザイン</b>は 素敵[すてき]ですね。,この 服[ふく]の<b>（　）</b>は 素敵[すてき]ですね。
4977,破る,やぶる,defeat,彼は強敵を見事に<b>破った</b>ね。,かれ は きょうてき を みごと に <b>やぶった</b> ね,He heroically defeated the powerful enemy.,破[やぶ]る,彼[かれ]は 強敵[きょうてき]を 見事[みごと]に<b> 破[やぶ]った</b>ね。,彼[かれ]は 強敵[きょうてき]を 見事[みごと]に<b>（　）</b>ね。
4978,ドレス,ドレス,dress,昨日素敵な<b>ドレス</b>を買いました。,きのう すてき な <b>どれす</b> を かいました,I bought a wonderful dress yesterday.,ドレス,昨日素敵[きのう すてき]な<b>ドレス</b>を 買[か]いました。,昨日素敵[きのう すてき]な<b>（　）</b>を 買[か]いました。
4979,横顔,よこがお,"profile, face seen from side",彼女の<b>横顔</b>は素敵だ。,かのじょ の <b>よこがお</b> は すてき だ,Her profile is lovely.,横顔[よこがお],彼女[かのじょ]の<b> 横顔[よこがお]</b>は 素敵[すてき]だ。,彼女[かのじょ]の<b>（　）</b>は 素敵[すてき]だ。
4980,敵,てき,"enemy, foe",あそこに<b>敵</b>がひそんでいる。,あそこ に <b>てき</b> が ひそんで いる,The enemy is lurking there.,敵[てき],あそこに<b> 敵[てき]</b>がひそんでいる。,あそこに<b>（　）</b>がひそんでいる。
4981,脅かす,おどかす,"threaten, intimidate",<b>脅かさないで</b>よ。,<b>おどかさない で</b> よ,Don't threaten me.,脅[おど]かす,<b> 脅[おど]かさないで</b>よ。,<b>（　）</b>よ。
4982,権威,けんい,"authority, power",博士はその道の<b>権威</b>です。,はかせ は そのみち の <b>けんい</b> です,The doctor is an authority in that field.,権威[けんい],博士[はかせ]はその 道[みち]の<b> 権威[けんい]</b>です。,博士[はかせ]はその 道[みち]の<b>（　）</b>です。
4983,威張る,いばる,"put on airs, be arrogant",彼は<b>威張って</b>なんかいません。,かれ は <b>いばって</b> なんか いません,He's not putting on airs.,威張[いば]る,彼[かれ]は<b> 威張[いば]って</b>なんかいません。,彼[かれ]は<b>（　）</b>なんかいません。
4984,情勢,じょうせい,"state of things, situation",私は世界<b>情勢</b>を知るために毎日ニュースを見るわ。,わたし は せかい <b>じょうせい</b> を しる ため に まいにち にゅーす を みる わ,I watch the news everyday to know about world affairs.,情勢[じょうせい],私[わたし]は 世界[せかい]<b> 情勢[じょうせい]</b>を 知[し]るために 毎日[まいにち]ニュースを 見[み]るわ。,私[わたし]は 世界[せかい]<b>（　）</b>を 知[し]るために 毎日[まいにち]ニュースを 見[み]るわ。
